address,ip,port,is_valid,latency_ms,net_type,net_type_en,country,region,city,isp,location,source,category,validation_error
3.92.137.124:443,3.92.137.124,443,True,75.47,,unknown,通用,,,,通用,results,local-general,
3.109.65.43:443,3.109.65.43,443,True,231.28,,unknown,通用,,,,通用,results,local-general,
4.188.2.252:443,4.188.2.252,443,True,230.04,,unknown,通用,,,,通用,results,local-general,
4.213.225.50:443,4.213.225.50,443,True,226.39,,unknown,通用,,,,通用,results,local-general,
4.227.112.195:443,4.227.112.195,443,True,21.22,,unknown,通用,,,,通用,results,local-general,
5.178.98.214:443,5.178.98.214,443,True,225.34,,unknown,通用,,,,通用,results,local-general,
8.20.113.68:443,8.20.113.68,443,True,23.3,,unknown,通用,,,,通用,results,local-general,
8.131.68.15:443,8.131.68.15,443,True,222.66,,unknown,通用,,,,通用,results,local-general,
8.133.164.218:443,8.133.164.218,443,False,,,unknown,通用,,,,通用,results,local-general,Timeout
8.210.0.148:1080,8.210.0.148,1080,True,157.74,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.210.1.127:1080,8.210.1.127,1080,True,157.41,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.210.2.5:1080,8.210.2.5,1080,True,152.99,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.210.10.250:5555,8.210.10.250,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.210.27.112:1080,8.210.27.112,1080,True,157.8,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.210.28.0:1080,8.210.28.0,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Timeout
8.210.36.40:5555,8.210.36.40,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.210.36.147:5555,8.210.36.147,5555,True,175.23,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.210.38.247:5555,8.210.38.247,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.210.80.208:8888,8.210.80.208,8888,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.210.81.24:1080,8.210.81.24,1080,True,159.94,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.210.81.245:1080,8.210.81.245,1080,True,155.3,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.210.88.135:5555,8.210.88.135,5555,True,175.08,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.210.89.67:1080,8.210.89.67,1080,True,158.93,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.210.90.51:5555,8.210.90.51,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.210.90.181:1080,8.210.90.181,1080,True,158.93,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.210.92.32:1080,8.210.92.32,1080,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.210.101.76:5555,8.210.101.76,5555,False,,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,Refused
8.210.104.21:1080,8.210.104.21,1080,True,153.36,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.210.106.203:1080,8.210.106.203,1080,True,155.38,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
8.210.107.234:1080,8.210.107.234,1080,True,161.73,,unknown,韩国,,,,韩国,ResultsAHT,local-AHT,
