# ======================================================================
# Aggregated IP/Proxy Addresses
# Generated: 2026-01-01 12:35:56 UTC
# Total: 1616 | Valid: 763 | Untested: 0
# ======================================================================
# Format: ADDRESS | STATUS | LATENCY | TYPE | LOCATION | ISP
# ======================================================================

3.92.137.124:443       | ✓ | 24ms    | -    | 通用              | -
3.109.65.43:443        | ✓ | 217ms   | -    | 通用              | -
4.188.2.252:443        | ✓ | 211ms   | -    | 通用              | -
4.213.225.50:443       | ✓ | 214ms   | -    | 通用              | -
4.227.112.195:443      | ✓ | 52ms    | -    | 通用              | -
5.35.101.59:9123       | ✓ | 138ms   | 机房   | 德国              | ForPrivacyNET
5.178.98.214:443       | ✓ | 207ms   | -    | 通用              | -
5.188.78.218:9150      | ✓ | 139ms   | 家宽   | 挪威 桑德尔福德        | GIGAHOST NET
8.20.113.68:443        | ✓ | 54ms    | -    | 通用              | -
8.131.68.15:443        | ✓ | 247ms   | -    | 通用              | -
8.133.164.218:443      | ✓ | 257ms   | -    | 通用              | -
8.210.0.148:1080       | ✓ | 205ms   | -    | 韩国              | -
8.210.1.127:1080       | ✓ | 203ms   | -    | 韩国              | -
8.210.2.5:1080         | ✓ | 202ms   | -    | 韩国              | -
8.210.10.250:5555      | ✗ | -       | -    | 韩国              | -
8.210.27.112:1080      | ✓ | 200ms   | -    | 韩国              | -
8.210.28.0:1080        | ✗ | -       | -    | 韩国              | -
8.210.36.40:5555       | ✗ | -       | -    | 韩国              | -
8.210.36.147:5555      | ✓ | 198ms   | -    | 韩国              | -
8.210.38.247:5555      | ✗ | -       | -    | 韩国              | -
8.210.80.208:8888      | ✗ | -       | -    | 韩国              | -
8.210.81.24:1080       | ✓ | 202ms   | -    | 韩国              | -
8.210.81.245:1080      | ✓ | 200ms   | -    | 韩国              | -
8.210.88.135:5555      | ✓ | 203ms   | -    | 韩国              | -
8.210.89.67:1080       | ✓ | 203ms   | -    | 韩国              | -
8.210.90.51:5555       | ✗ | -       | -    | 韩国              | -
8.210.90.181:1080      | ✓ | 200ms   | -    | 韩国              | -
8.210.92.32:1080       | ✗ | -       | -    | 韩国              | -
8.210.101.76:5555      | ✗ | -       | -    | 韩国              | -
8.210.104.21:1080      | ✓ | 204ms   | -    | 韩国              | -
8.210.106.203:1080     | ✓ | 204ms   | -    | 韩国              | -
8.210.107.234:1080     | ✓ | 199ms   | -    | 韩国              | -
8.210.108.208:1080     | ✓ | 199ms   | -    | 韩国              | -
8.210.109.161:1080     | ✓ | 200ms   | -    | 韩国              | -
8.210.110.159:1080     | ✓ | 199ms   | -    | 韩国              | -
8.210.110.204:5555     | ✓ | 199ms   | -    | 韩国              | -
8.210.112.229:1080     | ✓ | 205ms   | -    | 韩国              | -
8.210.117.24:5555      | ✗ | -       | -    | 韩国              | -
8.210.118.9:1080       | ✓ | 200ms   | -    | 韩国              | -
8.210.119.160:1080     | ✓ | 202ms   | -    | 韩国              | -
8.210.128.93:1080      | ✗ | -       | -    | 韩国              | -
8.210.132.239:1080     | ✗ | -       | -    | 韩国              | -
8.210.138.192:5555     | ✗ | -       | -    | 韩国              | -
8.210.142.142:1080     | ✗ | -       | -    | 韩国              | -
8.210.144.204:1080     | ✗ | -       | -    | 韩国              | -
8.210.145.44:1080      | ✗ | -       | -    | 韩国              | -
8.210.151.31:1080      | ✗ | -       | -    | 韩国              | -
8.210.151.243:1080     | ✗ | -       | -    | 韩国              | -
8.210.153.222:1080     | ✗ | -       | -    | 韩国              | -
8.210.154.185:1080     | ✗ | -       | -    | 韩国              | -
8.210.155.98:5555      | ✗ | -       | -    | 韩国              | -
8.210.161.207:5555     | ✗ | -       | -    | 韩国              | -
8.210.163.163:5555     | ✗ | -       | -    | 韩国              | -
8.210.197.22:5555      | ✗ | -       | -    | 韩国              | -
8.210.210.198:5555     | ✗ | -       | -    | 韩国              | -
8.210.217.190:5555     | ✗ | -       | -    | 韩国              | -
8.210.227.144:5555     | ✗ | -       | -    | 韩国              | -
8.210.245.62:1080      | ✗ | -       | -    | 韩国              | -
8.210.249.242:1080     | ✗ | -       | -    | 韩国              | -
8.210.251.151:1080     | ✗ | -       | -    | 韩国              | -
8.210.252.218:1080     | ✗ | -       | -    | 韩国              | -
8.210.254.72:5555      | ✓ | 208ms   | -    | 韩国              | -
8.210.255.185:1080     | ✓ | 208ms   | -    | 韩国              | -
8.212.12.98:80         | ✓ | 198ms   | -    | -               | -
8.212.14.90:443        | ✓ | 207ms   | -    | -               | -
8.212.65.162:443       | ✓ | 206ms   | -    | -               | -
8.212.131.125:1080     | ✗ | -       | -    | 韩国              | -
8.213.132.37:1080      | ✗ | -       | -    | 韩国              | -
8.213.133.204:1080     | ✗ | -       | -    | 韩国              | -
8.213.145.117:8888     | ✗ | -       | -    | 韩国              | -
8.213.148.131:1080     | ✗ | -       | -    | 韩国              | -
8.213.148.174:1080     | ✗ | -       | -    | 韩国              | -
8.213.159.156:1080     | ✗ | -       | -    | 韩国              | -
8.213.239.242:1080     | ✗ | -       | -    | 韩国              | -
8.217.0.62:1080        | ✓ | 206ms   | -    | 韩国              | -
8.217.0.164:1080       | ✓ | 202ms   | -    | 韩国              | -
8.217.1.173:1080       | ✓ | 205ms   | -    | 韩国              | -
8.217.1.204:1080       | ✓ | 208ms   | -    | 韩国              | -
8.217.8.12:5555        | ✗ | -       | -    | 韩国              | -
8.217.9.225:1080       | ✗ | -       | -    | 韩国              | -
8.217.13.199:5555      | ✗ | -       | -    | 韩国              | -
8.217.17.226:5555      | ✗ | -       | -    | 韩国              | -
8.217.80.219:1080      | ✓ | 208ms   | -    | 韩国              | -
8.217.81.251:1080      | ✓ | 212ms   | -    | 韩国              | -
8.217.82.136:8888      | ✗ | -       | -    | 韩国              | -
8.217.83.221:1080      | ✓ | 212ms   | -    | 韩国              | -
8.217.84.188:1080      | ✓ | 206ms   | -    | 韩国              | -
8.217.85.95:1080       | ✓ | 211ms   | -    | 韩国              | -
8.217.85.209:1080      | ✓ | 210ms   | -    | 韩国              | -
8.217.86.183:1080      | ✓ | 214ms   | -    | 韩国              | -
8.217.86.198:1080      | ✓ | 208ms   | -    | 韩国              | -
8.217.87.143:1080      | ✓ | 208ms   | -    | 韩国              | -
8.217.87.222:1080      | ✓ | 209ms   | -    | 韩国              | -
8.217.88.47:1080       | ✓ | 209ms   | -    | 韩国              | -
8.217.88.198:1080      | ✗ | -       | -    | 韩国              | -
8.217.88.234:1080      | ✓ | 213ms   | -    | 韩国              | -
8.217.89.21:1080       | ✓ | 212ms   | -    | 韩国              | -
8.217.89.51:1080       | ✓ | 209ms   | -    | 韩国              | -
8.217.89.85:1080       | ✓ | 213ms   | -    | 韩国              | -
8.217.89.162:1080      | ✓ | 214ms   | -    | 韩国              | -
8.217.90.134:1080      | ✓ | 196ms   | -    | 韩国              | -
8.217.93.13:1080       | ✓ | 192ms   | -    | 韩国              | -
8.217.93.36:1080       | ✓ | 196ms   | -    | 韩国              | -
8.217.93.42:1080       | ✓ | 195ms   | -    | 韩国              | -
8.217.94.103:1080      | ✓ | 196ms   | -    | 韩国              | -
8.217.94.129:1080      | ✓ | 196ms   | -    | 韩国              | -
8.217.94.174:1080      | ✓ | 192ms   | -    | 韩国              | -
8.217.97.108:1080      | ✓ | 196ms   | -    | 韩国              | -
8.217.97.218:1080      | ✓ | 192ms   | -    | 韩国              | -
8.217.98.134:1080      | ✓ | 192ms   | -    | 韩国              | -
8.217.103.91:1080      | ✓ | 199ms   | -    | 韩国              | -
8.217.103.142:1080     | ✓ | 199ms   | -    | 韩国              | -
8.217.104.110:1080     | ✓ | 194ms   | -    | 韩国              | -
8.217.106.190:5555     | ✗ | -       | -    | 韩国              | -
8.217.106.196:8888     | ✗ | -       | -    | 韩国              | -
8.217.114.185:1080     | ✗ | -       | -    | 韩国              | -
8.217.116.208:5555     | ✗ | -       | -    | 韩国              | -
8.217.116.231:1080     | ✓ | 195ms   | -    | 韩国              | -
8.217.121.141:1080     | ✓ | 197ms   | -    | 韩国              | -
8.217.122.50:1080      | ✓ | 201ms   | -    | 韩国              | -
8.217.122.167:1080     | ✓ | 197ms   | -    | 韩国              | -
8.217.125.154:1080     | ✓ | 199ms   | -    | 韩国              | -
8.217.125.237:1080     | ✓ | 197ms   | -    | 韩国              | -
8.217.126.80:1080      | ✓ | 195ms   | -    | 韩国              | -
8.217.126.126:7777     | ✗ | -       | -    | 韩国              | -
8.217.153.114:1080     | ✗ | -       | -    | 韩国              | -
